timestamp,transcript_chunk,keywords,recommended_task
00:00:00,"Kylie Ying has worked at many interesting places, such as MIT, CERN, and Free Code Camp. She's a physicist, engineer, and basically a genius. And now she's going to teach you about machine learning in a way that is accessible to absolute beginners. What's up, you guys? So welcome to machine learning for everyone. If you are someone who is interested in machine learning and you think you are considered as everyone, then this video is for you. In this video, we'll talk about supervised and unsupervised learning models. We'll go through maybe a little bit of the logic or math behind them, and then we'll also see how we can program it on Google Collab. If there are certain things that I have done and, you know, you're somebody with more experience than me, please feel free to correct me in the comments, and we can all as a community learn from this together. So with that, let's just dive right in. With that wasting any time, let's just dive straight into the code, and I will be teaching you guys concepts as we go. So this here is the UCI machine learning repository, and basically they just have a ton of data sets that we can access. And I found this really cool one called the Magic Gamma Telescope data set. So in this data set, if you don't want to read all this information to summarize what I think it's going on, is there's this Gamma telescope, and we have all these high-energy particles hitting the telescope. Now there's a camera, there's a detector that actually records certain patterns of, you know, how this light hits the camera, and we can use properties of those patterns in order to predict what type of particle cause that radiation. So whether it was a Gamma particle, or some other like Hadron. Down here, these are all of the attributes of those patterns that we collect in the camera. So you can see that there's, you","Kylie Ying, Free Code Camp, Ying has worked, Code Camp, interesting places",Review the key concepts from this section and write a one-paragraph summary.
00:02:00,"know, some length, width, size, asymmetry, et cetera. Now we're going to use all these properties to help us discriminate the patterns and whether or not they came from a Gamma particle, or a Hadron. So in order to do this, we're going to come up here, go to the data folder, and you're going to click this Magic Zero Ford data, and we're going to download that. Now over here, I have a colab notebook open, so you go to colab.research.google.com, you start a new notebook, and I'm just going to call this the magic dataset. So actually, I'm going to call this code camp magic example. Okay, so with that, I'm going to first start with some imports. So I will import, you know, I always import numpy, I always import pandas, and I always import matplotlib, and then we'll import other things as we go. So yeah, we run that in order to run the cell, you can either click this play button here, or you can on my computer, it's a shift enter, and that that will run the cell. And here, I'm just going to let you guys know, okay, this is where I found the dataset, so I've copied and pasted this actually, but this is just where I found the dataset. And in order to import that downloaded file that we got from the computer, we're going to go over here to this folder thing, and I am literally just going to drag and drop that file into here. Okay, so in order to take a look at, you know, what does this file consist of, do we have the labels, do we not? I mean, we could open it on our computer, but we can also just do","import, order, Gamma particle, Magic, dataset",Review the key concepts from this section and write a one-paragraph summary.
00:04:00,"pandas read CSV, and we can pass in the name of this file, and let's see what it returns. So it doesn't seem like we have the labels, so let's go back to here. I'm just going to make the columns, the column labels, all of these attribute names over here, so I'm just going to take these values and make that the column names. All right, how do I do that? So basically, I will come back here, and I will create a list called calls, and I will type in all of those things with F size, F conc, and we also have F conc, one, we have F symmetry, F m, three long, F m, three trans, F alpha, let's do we have F dist and class, and class, okay, great. Now in order to label those as these columns down here in our data frame, so basically this command here just reads some CSV file that you pass in. CSV is comma about comma separated values, and turns that into a pandas data frame object. So now if I pass in a names here, then it basically assigns these labels to the columns of this data set. So I'm going to set this data frame equal to df, and then if we call the head is just like give me the first five things, now you'll see that we have labels for all of these, okay. All right, great. So one thing that you might notice is that over here the class labels we have g and h. So if","CSV, labels, data frame, data, columns",Review the key concepts from this section and write a one-paragraph summary.
00:06:00,"I actually go down here and I do data frame class dot unique, you'll see that I have either g's or h's, and these stand for gammas or hadrons. And our computer is not so good at understanding letters, right. Our computer is really good at understanding numbers. So what we're going to do is we're going to convert this to zero for g and one for h. So here I'm going to set this equal to this whether or not that equals g. And then I'm just going to say as type int. So what this should do is convert this entire column if it equals g, then this is true. So I guess that would be one. And then if it's h, it would be false with that would be zero. But I'm just converting g and h to one than zero. It doesn't really matter like if g is one and h is zero or vice versa. Let me just take a step back right now and talk about this data set. So here I have some data frame and I have all of these different values for each entry. Now this is a, you know, each of these is one sample. It's one example. It's one item in our data set. It's one data point. All of these things are kind of the same thing when I mention, oh, this is one example or this is one sample or whatever. Now each of these samples they have, you know, one quality for each or one value for each of these labels up here and then it has the class. Now what we're going to do in this specific example is try to predict for future, you know, samples, whether the class is g for gamma or h for Hadron. And that is something known as classification. Now all of these up here, these are known as our features and","class dot unique, dot unique, good at understanding, data, frame class dot",Review the key concepts from this section and write a one-paragraph summary.
00:08:00,"features are just things that we're going to pass into our model in order to help us predict the label, which in this case is the class column. So for, you know, sample zero, I have 10 different features. So I have 10 different values that I can pass into some model and I can spit out, you know, the class, the label. And I know the true label here is g. So this is, this is actually supervised learning. All right. So before I move on, let me just give you a quick little crash course on what I just said. This is machine learning for everyone. Well, the first question is what is machine learning? Well, machine learning is a subdomain of computer science that focuses on certain algorithms, which might help a computer learn from data without a programmer being there telling the computer exactly what to do. That's what we call explicit programming. So you might have heard of AI and ML and data science. What is the difference between all of these? So AI is artificial intelligence. And that's an area of computer science where the goal is to enable computers and machines to perform human-like tasks and simulate human behavior. Now, machine learning is a subset of AI that tries to solve one specific problem and make predictions using certain data. And data science is a field that attempts to find patterns and draw insights from data. And that might mean we're using machine learning. So all of these fields kind of overlap and all of them might use machine learning. So there are a few types of machine learning. The first one is supervised learning. And in supervised learning, we're using labeled inputs. So this means whatever","mugunth machine learning, learning, machine, class column, data",Review the key concepts from this section and write a one-paragraph summary.
00:10:00,"input we get, we have a corresponding output label in order to train models and to learn outputs of different new inputs that we might feed our model. So for example, I might have these pictures. Okay, to a computer, all these pictures are our pixels. They're pixels with a certain color. Now in supervised learning, all of these inputs have a label associated with them. This is the output that we might want the computer to be able to predict. So for example, over here, this picture is a cat. This picture is a dog. And this picture is a lizard. Now there's also unsupervised learning. And in unsupervised learning, we use unlabeled data to learn about patterns in the data. So here are my input data points. Again, they're just images. They're just pixels. Well, okay, let's say I have a bunch of these different pictures. And what I can do is I can feed all these to my computer. And I might not, you know, my computer is not going to be able to say, oh, this is a cat dog and lizard in terms of, you know, the output. But it might be able to cluster all these pictures. It might say, hey, all of these have something in common. All of these have something in common. And then these down here have something in common. That's finding some sort of structure in our unlabeled data. And finally, we have reinforcement learning and reinforcement learning. Well, they usually, there's an agent that is learning in some sort of interactive environment based on rewards and penalties. So let's think of a dog. We can train our dog. But there's not necessarily, you know, any wrong or right output at any given moment, right?","learning, pictures, picture, computer, output",Review the key concepts from this section and write a one-paragraph summary.
00:12:00,"Well, let's pretend that dog is a computer. Essentially, what we're doing is we're giving rewards to our computer and tell your computer, hey, this is probably something good that you want to keep doing. Well, computer agent, yeah, terminology. But in this class today, we'll be focusing on supervised learning and unsupervised learning and learning different models for each of those. All right. So let's talk about supervised learning first. So this is kind of what a machine learning model looks like. You have a bunch of inputs that are going into some model. And then the model is spitting out an output, which is our prediction. So all these inputs, this is what we call the feature vector. Now, there are different types of features that we can have. We might have qualitative features. And qualitative means categorical data. There's either a finite number of categories or groups. So one example of a qualitative feature might be gender. And in this case, there's only two here. It's for the sake of the example. I know this might be a little bit outdated. Here, we have a girl and a boy. There are two genders. There are two different categories. That's a piece of qualitative data. Another example might be, okay, we have a bunch of different nationalities. Maybe a nationality or a nation or a location. That might also be an example of categorical data. Now, in both of these, there's no inherent order. It's not like, we can rate US one and France two, Japan three, etc. There's not really any inherent order built into either of these categorical data sets. That's why we call this nominal data. Now, for nominal data, the way that we want","pretend that dog, computer, data, learning, qualitative",Review the key concepts from this section and write a one-paragraph summary.
00:14:00,"to feed it into our computer is using something called one hot encoding. So let's say that, you know, I have a data set. Some of the items in our data, some of the inputs might be from the US. So it might be from India, then Canada, then France. Now how do we get our computer to recognize that? We have to do something called one hot encoding. And basically one hot encoding is saying, okay, well, if it matches some category, make that a one. And if it doesn't, just make that a zero. So, for example, if your input were from the US, you might have one zero, zero, zero. India, you know, zero, one, zero, zero. Canada, okay, well, the item representing Canada is one. And then France, the item representing France is one. And then you can see that the rest are zeroes. That's one hot encoding. Now, there are also a different type of qualitative feature. So here on the left, there are different age groups. There's babies, toddlers, teenagers, young adults, adults, and so on, right? And on the right hand side, we might have different ratings. So maybe bad, not so good, mediocre, good, and then like great. Now, these are known as ordinal pieces of data because they have some sort of inherent order, right? Like being a toddler is a lot closer to being a baby than being an elderly person, right? Or good is closer to great than it is to really bad. So these have some sort of inherent ordering system. And so for these types of data sets, we can actually just mark them from, you know, one to five. Or we can just say, hey, for each of these, let's give it a number. And this makes sense because like,","hot encoding, hot, called one hot, France, encoding",Review the key concepts from this section and write a one-paragraph summary.
00:16:01,"for example, the thing that I just said, how good is closer to great than good is close to not good at all. Well, four is closer to five, then four is close to one. So this actually kind of makes sense. And it'll make sense for the computer as well. All right, there are also quantitative pieces of data and quantitative pieces data are numerical valued pieces of data. So this could be discrete, which means, you know, they might be integers, or it could be continuous, which means all real numbers. So for example, the length of something is a quantitative piece of data. It's a quantitative feature. The temperature of something is a quantitative feature. And then maybe how many Easter eggs I collected in my basket, this Easter egg hunt, that is an example of discrete quantitative feature. Okay, so these are continuous. And this over here is discrete. So those are the things that go into our feature vector. Those are our features that we're feeding this model, because our computers are really, really good at understanding math, right, at understanding numbers. They're not so good at understanding things that humans might be able to understand. Well, what are the types of predictions that our model can output? So in supervised learning, there are some different tasks. There's one classification. And basically classification is saying, okay, predict discrete classes. And that might mean, you know, this is a hotdog, this is a pizza, and this is ice cream. Okay, so there are three distinct classes and any other pictures of hot dogs, pizza or ice cream, I can put under these labels, hotdog pizza ice cream. This is something known as multi-class","quantitative, closer to great, quantitative feature, good, data",Review the key concepts from this section and write a one-paragraph summary.
00:18:00,"classification. But there's also binary classification. And binary classification, you might have hotdog, or not hotdog. So there's only two categories that you're working with, something that is something and something that isn't, binary classification. Okay, so yeah, other examples. So if something has positive or negative sentiment, that's binary classification. Maybe you're predicting your pictures if they're cats or dogs, that's binary classification. Maybe, you know, you are writing an email filter and you're trying to figure out if an email is spam or not spam. So that's also binary classification. Now, for multi-class classification, you might have, you know, cat dog, lizard, dolphin, shark, rabbit, etc. We might have different types of fruit to like orange, apple, pear, etc. And then maybe different plant species. But multi-class classification just means more than two. Okay, and binary means we're predicting between two things. There's also something called regression when we talk about supervised learning. And this just means we're trying to predict continuous values. So instead of just trying to predict different categories, we're trying to come up with a number that, you know, is on some sort of scale. So some examples. So some examples might be the price of Ethereum tomorrow. Or it might be, okay, what is going to be the temperature? Or it might be what is the price of this house, right? So these things don't really fit into discrete classes. We're trying to predict a number that's as close to the true value as possible using different features of our data set. So that's exactly what our model looks like in supervised learning. Now, let's talk about the model itself. How do we make this model learn? Or","binary classification, classification, binary, predict, hotdog",Train a classifier (like a Decision Tree or SVM) on the Iris dataset and evaluate its accuracy.
00:20:00,"how can we tell whether or not it's even learning? So before we talk about the models, let's talk about how can we actually like evaluate these models or how can we tell whether something is a good model or bad model. So let's take a look at this data set. So this data set has this is from a diabetes, a Pima Indian diabetes data set. And here we have different number of pregnancies, different glucose levels, blood pressure, skin thickness, insulin, BMI, age, and then the outcome, whether or not they have diabetes. One for they do, zero for they don't. So here, all of these are quantitative features, right? Because they're all on some scale. So each row is a different sample in the data. So it's a different example. It's one person's data. And each row represents one person in this data set. Now this column, each column represents a different feature. So this one here is some measure of blood pressure levels. And this one over here as we mentioned is the output label. So this one is whether or not they have diabetes. And as I mentioned, this is what we would call a feature vector because these are all of our features in one sample. And this is what's known as the target or the output for that feature vector. That's what we're trying to predict. And all of these together is our features matrix X. And over here, this is our labels or targets vector Y. So I've condensed this to a chocolate bar to kind of talk about some of the other concepts in machine learning. So over here, we have our X,","data set, data, Pima Indian diabetes, set, Pima Indian",Review the key concepts from this section and write a one-paragraph summary.
00:22:00,"our features matrix. And over here, this is our label Y. So each row of this will be fed into our model, right? And our model will make some sort of prediction. And what we do is we compare that prediction to the actual value of Y that we have in our label data set because that's the whole point of supervised learning is we can compare what our model is outputting to what is the truth actually. And then we can go back and we can adjust some things so that the next iteration we get closer to what the truth value is. So that whole process here, the tinkering that, okay, what's the difference? Where did we go wrong? That's what's chunk right here. Do we want to really put our entire chocolate bar into the model to train our model? Not really, right? Because if we did that, then how do we know that our model can do well on new data that we haven't seen? Like if I were to create a model to predict whether or not someone has diabetes, let's say that I just train on my data and I see that on my training data it does well. I go to some hospital and I'm like, here's my model. I think you can use this to predict if somebody has diabetes. Do we think that would be effective or not? Probably not, right? Because we haven't assessed how well our model can generalize. Okay, it might do well after our model has seen this data over and over and over again. But what about new data? Can our model handle new data? Well, how do we get our model to assess that? So we actually break up our whole data set that we have","model, features matrix, data, matrix, features",Review the key concepts from this section and write a one-paragraph summary.
00:24:00,"into three different types of data sets. We call it the training data set, the validation data set, and the testing data set. And you know, you might have 60% here, 20% and 20% or 80, 10, and 10. It really depends on how many statistics you have. I think either of those would be acceptable. So what we do is then we feed the training data set into our model. We come up with, you know, this might be a vector of predictions corresponding with each sample that we put into our model. We figure out, okay, what's the difference between our prediction and the true values? This is something known as loss. Loss is, you know, what's the difference here in some numerical quantity, of course. And then we make adjustments. And that's what we call training. Okay. So then once, you know, we've made a bunch of adjustments, we can put our validation set through this model. And the validation set is kind of used as a reality check during or after training to ensure that the model can handle unseen data still. So every single time after we train one iteration, we might stick the validation set in and see, hey, what's the loss there? And then after our trainings over, we can assess the validation set and ask, hey, what's the loss there? But one key difference here is that we don't have that training step. This loss never gets fed back into the model, right? That feedback loop is not closed. All right. So let's talk about loss really quickly. So here I have four different types of models. I have some sort of data that's being fed into the model and then some output. Okay. So this output here is pretty far from, you know, this truth that we want. And so this loss","data, set, data set, loss, validation set",Review the key concepts from this section and write a one-paragraph summary.
00:26:00,"is going to be high in model B. Again, this is pretty far from what we want. So this loss is also going to be high. Let's give it 1.5. Now this one here, it's pretty close. I mean, maybe not almost, but pretty close to this one. So that might have a loss of 0.5. And then this one here is maybe further than this, but still better than these two. So that loss might be 0.9. Okay. So which of these models performs the best? Well, Model C has the smallest loss. So it's probably Model C. Okay. Now let's take Model C after, you know, we've come with all these models and we've seen, okay, Model C is probably the best model. We take Model C and we run our test set through this model. And this test set is used as a final check to see how generalizable that chosen model is. So if I, you know, finished training my diabetes data set, then I could run it through some chunk of the data and I can say, oh, like, this is how we perform on data that it's never seen before at any point during the training process. Okay. And that loss, that's the final reported performance of my test set or this would be the final reported performance of my model. Okay. So let's talk about this thing called loss because I think I kind of just lost over it, right? So loss is the difference between your prediction and the actual label. So this would give a slightly higher loss than this. And this would even give a higher loss because it's even more off in computer science. We like formulas, right? We like formulaic ways of describing things. So here","model, loss, set, pretty, models",Review the key concepts from this section and write a one-paragraph summary.
00:28:00,"are some examples of loss functions and how we can actually come up with numbers. This here is known as L1 loss. And basically L1 loss just takes the absolute value of whatever your, you know, real value is whatever the real output label is, subtracts the predicted value and takes the absolute value of that. Okay. So the absolute value is a function that looks something like this. So the further off you are, the greater your loss is, right? In either direction. So if your real value is off from your predicted value by 10, then your loss for that point would be 10. And then this sum here just means hey, we're taking all the points in our data set and we're trying to figure out the sum of how far everything is. Now we also have something called L2 loss. So this loss function is quadratic, which means that if it's close, the penalty is very minimal. And if it's off by a lot, then the penalty is much, much higher. Okay. And this instead of the absolute value, we just square the difference between the two. Now there's also something called binary cross entropy loss. It looks something like this. And this is for binary classification. This might be the loss that we use. So this loss, you know, I'm not going to really go through it too much, but you just need to know that loss decreases as the performance gets better. So there are some other measures of performance as well. So for example, accuracy. What is accuracy? So let's say that these are pictures that I'm feeding my model. Okay.","loss, absolute, real, numbers, function",Review the key concepts from this section and write a one-paragraph summary.
00:30:01,"And these predictions might be apple, orange, orange, apple. Okay, but the actual is apple, orange, apple, apple. So three of them were correct and one of them was incorrect. So the accuracy of this model is three quarters or 75%. All right, coming back to our collab notebook, I'm going to close this a little bit. Again, we've imported stuff up here. And we've already created our data frame right here. And this is all of our data. This is what we're going to use to train our models. So down here, again, if we now take a look at our data set, you'll see that our classes are now zeros and ones. So now this is all numerical, which is good because our computer can now understand that. Okay. And you know, it would probably be a good idea to maybe kind of plot, hey, dude, these things have anything to do with the class. So here, I'm going to go through all of the labels. So for label in the columns of the state of frame, so this just gets me the list. Actually, we have the list, right, it's called. So let's just use that. You might be less confusing of everything up till the last thing, which is the class. So I'm going to take all these 10 different features. And I'm going to plot them as a histogram. So and now I'm going to plot them as a histogram. So basically, if I take that data frame and I say, okay, for everything where the class is equal to one. So these are all of our gammas. Remember, now for that portion of the data frame, if I look at this label. So now these, okay, what this part here is saying is inside","apple, orange, data, data frame, frame",Review the key concepts from this section and write a one-paragraph summary.
00:32:01,"the data frame, get me everything where the class is equal to one. So that's all of these would fit into that category, right? And now let's just look at the label column. So the first label would be F length, which would be this column. So this command here is getting me all the different values that belong to class one for this specific label. And that's exactly what I'm going to put into the histogram. And now I'm just going to tell you know, map plot lib, make the color blue, make label this as, you know, gamma, set alpha. Why do I keep doing that? Alpha equal to 0.7. So that's just like the transparency. And then I'm going to set density equal to true. So that when we compare it to the hadrons here, we'll have a baseline for comparing them. Okay, so the density being true just basically normalizes these distributions. So, you know, if you have 200 and of one type and then 50 of another type, well, if you drew the histograms, it would be hard to compare because one of them would be a lot bigger than the other, right? But by normalizing them, we kind of are distributing them over how many samples there are. All right. And then I'm just going to put a title on here, make that the label, the y label. So because it's density, the y label is probability. And the x label is just going to be the label. What is going on? And I'm going to include a legend and plt.show just means, okay, display the plot. So if I run that, just be up to the last item. So we want a list, right? Not just the last item. And","label, data frame, equal, make, density",Review the key concepts from this section and write a one-paragraph summary.
00:34:00,"now we can see that we're plotting all of these. So here we have the length. Oh, and I made this gamma. So this should be hadron. Okay. So the gamma's in blue, the hadrons aren't red. So here we can already see that, you know, maybe if the length is smaller, it's probably more likely to be gamma, right? And we can kind of, you know, these all look somewhat similar. But here, okay, clearly if there's more asymmetry, or if, you know, this asymmetry measure is larger than it's probably hadron. Okay. Oh, this one's a good one. So F alpha seems like hadrons are pretty evenly distributed, whereas if this is smaller, it looks like there's more gammas in that area. Okay. So this is kind of what the data that we're working with, we can kind of see what's going on. Okay. So the next thing that we're going to do here is we are going to create our train, our validation, and our test datasets. I'm going to set train, valid, and test to be equal to this, so numpy.split, I'm just splitting up the data frame. And if I do this sample where I'm sampling everything, this will basically shuffle my data. Now, if I want to pass in where exactly I'm splitting my dataset, so the first split is going to be maybe at 60%. So I'm just going to say 0.6 times the length of this data frame. So, and then cast that 10 integer. That's going to be the first place where, you know, I cut it off, and that will be my training data. Now, if I then go to 0.8, this basically means","data, gamma, length, kind, plotting",Review the key concepts from this section and write a one-paragraph summary.
